ID,VERB,DEFINITION,EXAMPLE,ARG0,FLAG0,ARG1,FLAG1,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG2,FLAG2,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG3,FLAG3,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG4,FLAG4,"NOM, ACC, DAT, ABL, INS, LOC, GEN",,,,,,,,,,,,,,,
TUR10-0071550,bakakalmak,Şaşkınlığa uğrayıp ne yapacağını bilmez durumda kalmak,Bakakalırım giden geminin ardından / Atamam kendimi denize dünya güzel,bakakalan kişi,pag,bakakalınan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0072920,bakmak,Bakışı bir şey üzerine çevirmek,Zamanla nasıl değişiyor insan / Hangi resmime baksam ben değilim,bakan kişi,pag,bakılan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0203760,dikilmek,Göz belli bir noktaya uzun süre bakmak,Herkesin gözleri hayret ve tecessüsle onun üzerine dikilir.,bakan kişi,pag,bakılan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0072940,bakmak,Bir şeyin yüzü bir yöne doğru olmak,Limana bakan penceresinden deniz görünürdü.,bakan şey,pag,bakılan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0445400,kesmek,"Karşı cinsten birisini sürekli olarak süzmek, dikkatli bir biçimde bakmak",,karşı cinse bakan kişi,pag,baktığı kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0720430,süzmek,Göz baygın ve anlamlı bakmak,Bir ara yandaki masada oturan adamın beni süzdüğünü sezinledim.,bakan kişi,pag,baktığı şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0080070,basmak,Baskın yapmak,Ölen kızın intikamını almak için köyü basıp yakmış.,baskın yapan kişi,pag,baskın yapılan şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0523280,mandallamak,Telsizlerde konuşmaları anlaşılmaz duruma getirmek için sürekli olarak düğmelere basmak,,düğmelere basan kişi,pag,bastığı düğmeler,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0181240,dalmak,Güreşte rakibinin belden aşağı bir yerini aniden tutmak,,dalan kişi,pag,belden aşağı yeri tutulan kişi,dir,dat,"el, kol",com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0181200,dalmak,Bir yerin içine girmek,Hızla içeri dalıp mumun başında duran adama doğru iki adım attı.,"içeri giren, bir yere hızla giriş yapan kişi",pag,belli bir sınırı olan alan,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0105420,binmek,Yüksek bir şeyin veya bir hayvanın üstüne çıkıp ayaklarını sallandırarak oturmak,Belki de atlara binerek dolaşırız.,binen kişi,pag,binilen şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0105430,binmek,"Bir yere gitmek için tren, vapur, uçak, otomobil vb. bir taşıtta yer almak","Vapurlara, trenlere ihtiyarları itip çocukları ezip biniyoruz.",binen kişi,pag,binilen şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0105440,binmek,"Bisiklet, motosiklet, binek hayvanı kullanmak",Motora kasksız binmiş.,binen kişi,pag,binilen şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0821880,vurmak,Batıcı veya kesici cisimleri saplamak; kakmak,Adamın göğsüne bıçak vurdular.,Bıçak vuran kişi,pag,Bıçak vurulan kişi,dir,dat,Kişinin bıçak vurulan yeri,loc,,,,,,,,,,,,,,,,,,,,,,
TUR10-0113840,borçlanmak,Manevi bir yükümlülük altına girmek,,borçlanan kişi,pag,borçlanılan kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0740710,takmak,Borç bırakmak,"Bu eve asilzadelerin biri girip öteki giderdi. Giden kirayı takar, gelen ortalığı kasıp kavururdu.",borç bırakan kişi,pag,borcun bırakıldığı kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0113980,bordalamak,Gemi başka bir gemiye çarpmak,,bordalayan gemi,pag,bordalanan gemi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0290440,gelmek,Kadar olmak,Boyu ancak omzuna geliyor.,boyut,pag,boyutun karşılaştırıldığı şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0128270,bürünmek,Bir görünüşe girmek,,bir görünüşe bürünen kişi,pag,bürünülen görünüş,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
